6.22E+12,atrozemp,174,58,25-Oct,1,,,,,
6.22E+12,atoreza 10/10,125,62.5,26-Aug,1,,,,,
6.22E+12,atoreza20/10,103.5,34.5,26-Sep,1,,,,,
6.22E+12,amlosazide 5/12.5/40,90,30,25-Jul,1,,,,,
6.22E+12,aldomet 250,73.5,24.5,26-Sep,3,,,,,
6.22E+12,acyclovir 400 ,136.5,19.5,27-Sep,1,,,,,
6.22E+12,averoferoz,80,27,25-May,2,,,,,
6.22E+12,arthineur,15,15,26-Oct,1,,,,,
6.22E+12,averothiazide,90,30,26-Aug,4,???? ????? ???? ??????,,,,
6.22E+12,anafronil 75,75,37.5,25-Jun,6,,,,,
6.22E+12,anafronil    25,45,15,26-May,4,,,,,
6.22E+12,amigraine adco,43.5,14.5,25-Dec,4,,,,,
6.22E+12,amaryl 2 ,55.5,18.5,26-Jan,3,,,,,
6.22E+12,amaryl  4,79.5,26.5,26-Sep,3,,,,,
6.22E+12,amaryl 1,26,9,26-Apr,3,,,,,
6.22E+12,amaryl  3,61.5,2 0. 5,26-Apr,5,???? ????? ???? ????,,,,
6.22E+12,azgovans 20/1100,24.5,24.5,26-May,1,,,,,
6.22E+12,azgovans 40/1100,27,27,25-Oct,1,,,,,
6.22E+12,ateno 50,12,6,26-Feb,1,???? ????? ???? ????,,,,
6.22E+12,ateno 100,17,8.5,26-Jul,1,,,,,
6.22E+12,alkapride 50,45,15,26-Sep,4,???? ????? ????,,,,
,alkapress plus,58,29,25-Jul,1,,,,,
6.22E+12,after meals,50,25,25-Aug,3,??? ????? ????,,,,
6.22E+12,alphavim 500,220,110,25-Sep,1,,,,,
6.22E+12,allergoliber 10,60,30,26-Jan,1,,,,,
6.22E+12,anallerege  4 ,16.5,5.5,27-Sep,2,??? ????? ????,,,,
6.22E+12,atacand plus,116,58,26-Oct,5,,,,,
6.22E+12,atacand 4,40,20,26-Jan,1,,,,,
6.22E+12,atacand 16,85,42.5,26-Jul,1,,,,,
6.22E+12,angiostartan plus 40/12.5,54,13.5,26-Feb,1,,,,,
6.22E+12,angiostartan 20,40,10,26-Jul,1,,,,,
6.22E+12,angiostartan 20/25,46,11.5,26-Jan,1,,,,,
6.22E+12,angiostartan 40/25,58,14.5,25-May,1,,,,,
6.22E+12,achtenon,23,11.5,27-Apr,3,,,,,
6.22E+12,albendazole 400,31,31,26-Sep,4,,,,,
6.22E+12,alzental,19.5,6.5,26-Nov,6,,,,,
6.22E+12,antiflam,22.5,11.25,25-Jun,1,,,,,
6.22E+12,aspricarlo,16.5,5.5,25-May,3,,,,,
,arthrofast,68,34,25-Jun,2,,,,,
,aig aizoprompizole,100,50,26-Oct,4,???? ????? ????,,,,
6.22E+12,aspocid 75,21,7,26-May,4,,,,,
6.22E+12,antodine 20,36,12,26-Jun,5,,,,,
6.22E+12,antodine 40,58.5,19.5,25-Nov,4,,,,,
6.22E+12,antopral 20,45,22.5,24-Dec,3,???? ????? ????,,,,
6.22E+12,antopral 40,87,43.5,25-Sep,3,,,,,
,alkapress 5,41,21,26-Sep,8,,,,,
,alkapress  10,78,26,26-Sep,3,,,,,
6.22E+12,amrizole 500,15,7.5,28-Nov,7,???? ????? ????,,,,
6.22E+12,ambeziem,64,21.5,26-Jul,5,,,,,
6.22E+12,alphintern,54,18,26-Sep,3,???? ????? ????,,,,
,adol extra,16.5,8.5,24-May,8,???? ????? ????,,,,
,adol ,21,10.5,26-Jan,3,???? ????? ????,,,,
6.22E+12,abimol,13,6.5,25-Oct,8,???? ????? ????,,,,
6.22E+12,augmentien,131,65.5,25-Mar,3,???? ????? ????,,,,
6.22E+12,aspocid ?????,9,9,25-Apr,13,???? ????? ,,,,
6.22E+12,abimol extra,16,8,26-Mar,4,???? ????? ????,,,,
6.22E+12,antinal ,36,18,26-Aug,4,,,,,
6.22E+12,atchi,19,19,26-Jun,3,,,,,
6.22E+12,averozolid 600,183,183,26-Sep,5,,,,,
6.22E+12,conventein 300,82.5,28,26-Nov,3,???? ????? ????,,,,
6.22E+12,conventein 400,111,38,26-Jun,3,,,,,
6.22E+12,conventein 100,37.5,12.5,26-Sep,1,,,,,
6.22E+12,cymbatex 30,228,77,26-Sep,2,???? ????? ????,,,,
6.22E+12,cymbatex 60,295.5,99,26-Jul,1,,,,,
6.22E+12,cymbatex 20,174,58,26-Sep,1,,,,,
6.22E+12,cretolip 20,111,38,26-Sep,4,,,,,
6.22E+12,cretolip 10,90,30,26-Jul,4,,,,,
6.22E+12,cerebroforte,48,1,26-Aug,1,,,,,
6.22E+12,carvid,54,27,26-Jun,1,,,,,
6.23E+12,contraplan 2,24,12,25-May,2,,,,,
6.22E+12,co tareg 160/12.5,112,56,25-Jun,1,,,,,
,cardura 1 mg,36,12,25-Jun,1,,,,,
,cardura 4 mg,58,29,26-Jun,1,,,,,
,cardura XL 4 mg,194,49,25-Feb,1,,,,,
6.22E+12,clozapine 100 mg,67.5,22.5,26-Sep,2,,,,,
6.22E+12,cholerose plus,206,52,25-Jun,1,,,,,
6.22E+12,colospasmin forte,34,17,27-May,1,,,,,
6.22E+12,calcium d3f,30,10,26-Jul,1,,,,,
6.22E+12,clear air 10 mg,70,35,26-May,1,,,,,
6.22E+12,coveram 10 mg,114,114,25-Jul,1,,,,,
6.22E+12,cordarone 200 mg,48,16,26-Jun,2,,,,,
6.22E+12,coloverin SR,63,21,26-Jul,3,,,,,
6.22E+12,coloverin ,51,17,26-Aug,3,,,,,
6.22E+12,coloverin D,69,23,26-Oct,2,,,,,
6.22E+12,coloverin A,69,23,26-Oct,2,???? ????? ??????,,,,
6.22E+12,cardilol 6.25,18,6,26-Jul,1,,,,,
6.22E+12,cardilol 25 mg,36,12,25-May,1,,,,,
6.22E+12,caredalud S R,28.5,9.5,26-Jan,3,,,,,
6.22E+12,candalkan 4 mg ,28,14,26-Mar,3,,,,,
6.22E+12,candalkan 16/12.5 mg ,54,27,26-May,4,,,,,
6.22E+12,candalkan plus 32/.12.5,76,38,26-Jun,3,,,,,
6.22E+12,candalkan 8mg,34,17,26-Aug,3,,,,,
6.22E+12,candalkan 16 mg,43,22,26-Mar,1,,,,,
,celebrex 200 mg,127.5,42.5,26-Mar,4,???? ????? ??????,,,,
,celebrex 100 mg ,49,25,25-Oct,1,,,,,
,controloc 20 mg,67,33.5,1/20265,4,???? ????? ????,,,,
,controloc 40 mg,130,130,25-Dec,4,,,,,
6.22E+12,cobal,38.5,13,26-Jun,6,,,,,
6.22E+12,cobal F,54,18,25-Nov,5,,,,,
6.22E+12,carbimazole ,30,6,25-May,1,,,,,
6.22E+12,claritine ,72,36,26-Aug,6,???? ????? ????,,,,
6.22E+12,celeborg 100 mg,24.5,24.5,26-Feb,1,,,,,
,c retard,22.5,22.5,25-Sep,6,,,,,
6.22E+12,curisafe 500 mg ,31,31,26-Aug,4,,,,,
6.22E+12,curisafe 1000 g,52,26,26-Jul,9,???? ????? ????,,,,
6.22E+12,comtrex ,39,20,25-Jul,12,,,,,
6.22E+12,colona,45,15,26-Jun,5,???? ????? ????,,,,
6.22E+12,concor 5 plus,51,17,27-Jul,4,,,,,
6.22E+12,concor 5 mg,51,17,27-Oct,6,???? ????? ?????? ,,,,
6.22E+12,concor 10 mg,70.5,24,27-Aug,5,,,,,
6.22E+12,concor 10 plus,63,21,25-Nov,4,,,,,
6.22E+12,concor 2.5,40.5,14,26-Sep,5,???? ????? ???? ,,,,
6.22E+12,carnivita forte ,120,40,26-Nov,3,,,,,
6.22E+12,cal mag,105,35,26-Aug,2,???? ????? ??????,,,,
6.22E+12,crestor 20 mg ,175,88,25-Jun,1,,,,,
6.22E+12,crestor 10 mg ,212,53,25-Dec,1,,,,,
6.22E+12,crestor 5 mg ,32.5,32.5,25-Mar,1,,,,,
6.22E+12,ciprodiazole ,78,39,25-Apr,3,,,,,
6.22E+12,clopex 75,114,38,26-Sep,3,,,,,
6.22E+12,curam 1 g ,113,38,25-Jun,3,???? ????? ?????? ,,,,
6.22E+12,curam 625 mg ,55,18.5,26-Jan,3,,,,,
6.22E+12,cal preg ,65,22,26-Sep,2,,,,,
6.22E+12,calcimate 500 mg ,20,10,24-Dec,1,,,,,
6.22E+12,ciprofar 500 mg,37,37,26-Oct,3,,,,,
6.22E+12,ciprofar 750 mg ,45,45,25-Jul,3,,,,,
6.22E+12,celeborg 200 mg,78,39,26-Dec,2,,,,,
6.22E+12,cataflam 25 mg,21,11,25-Jul,4,,,,,
6.22E+12,cataflam 50 mg ,62,31,25-Jun,4,,,,,
,cipromax 750 mg ,60,60,25-Sep,4,,,,,
6.22E+12,coldatrexy ,39,13,26-Nov,2,,,,,
6.22E+12,coldfree ,31,16,26-Oct,5,,,,,
6.22E+12,cetal 500,13,6.5,26-Oct,4,,,,,
6.22E+12,cipro 500 mg,36,36,25-Sep,4,,,,,
6.23E+12,cycloflex,27,13.5,25-Jul,1,,,,,
,1.2.3,24,12,26-Oct,7,,,,,
6.22E+12,coveram 5/10 mg,100,100,26-Jan,3,,,,,
,bisolvon,14,7,25-Aug,4,,,,,
6.22E+12,bronchopro,14,14,25-Sep,1,,,,,
6.22E+12,baclofen 10 mg,18,9,26-Sep,1,,,,,
6.22E+12,baclofen 25 mg,27,13.5,26-Sep,1,,,,,
6.22E+12,bional ,192,64,25-Sep,2,,,,,
,bistol 5 mg,12.5,6.5,26-Mar,4,,,,,
,bistol 10 mg,17,9,26-Jan,4,,,,,
,bistol plus ,12.5,6.5,26-Mar,2,,,,,
6.22E+12,brestto ,94,5,25-Feb,1,,,,,
6.22E+12,bone care .5 mg,66,22,27-May,1,,,,,
6.22E+12,bone care .25 mg,36,12,25-Mar,1,,,,,
6.22E+12,bone care 1 g,67.5,22.5,26-Jun,2,,,,,
6.22E+12,bisocard 2.5 mg,30,10,25-Sep,5,???? ????? ????,,,,
6.22E+12,bisocard 10 mg,31.5,10.5,25-Dec,1,,,,,
6.22E+12,bisocard plus 5,42,21,26-Feb,1,,,,,
6.22E+12,bisocard 5 mg,42,21,26-Jul,1,,,,,
,bradipect 5 g,120,30,26-Jun,2,,,,,
6.22E+12,bradipect 7.5,128,32,26-Mar,3,???? ????? ??????,,,,
,brilique 90 mg,478,119.5,26-May,1,,,,,
6.22E+12,blokium diu,17.5,17.5,27-Feb,2,,,,,
6.22E+12,bristaflam,47,23.5,26-Aug,3,???? ????? ???? ,,,,
6.22E+12,biotin forte ,78,13,26-Nov,1,,,,,
6.22E+12,bepra ,72,36,24-Dec,2,,,,,
6.22E+12,bi alcofan,55.5,18.5,26-May,12,???? ????? ????,,,,
6.22E+12,bi ketogesic,39,13,26-Aug,9,,,,,
8.00E+12,brufen cold,37,185,26-Sep,12,,,,,
8.00E+12,brufen 600 mg6,66,22,26-Sep,2,???? ????? ??????,,,,
8.00E+12,brufen 200 mg,28.5,9.5,26-Sep,2,,,,,
8.00E+12,brufen 400 mg,51,17,26-May,10,,,,,
8.00E+12,betaserc 8 mg,82,20.5,25-Nov,1,,,,,
8.00E+12,betaserc 16 mg,50.5,15.5,26-Mar,2,???? ????? ??????,,,,
8.00E+12,betaserc 24 mg,152,76,26-Jun,1,,,,,
6.22E+12,bi profenid 150 mg ,37,18.5,26-Jul,9,???? ???? ????? ????,,,,
6.22E+12,bismuth oxide,137,137,25-Sep,3,,,,,
6.22E+12,budelizer ,116,116,26-Oct,2,,,,,
6.22E+12,bion gold,78,78,25-Apr,1,,,,,
,calcidol calcium ,70,Mar-00,25-Sep,1,,,,,
6.23E+12,calcium 3,58,58,24-Oct,1,,,,,
6.22E+12,conadione 10 mg,36,36,26-May,1,,,,,
,caroplus,65,65,25-Aug,1,,,,,
6.23E+12,cranby,85,Mar-00,25-Feb,1,,,,,
6.22E+12,cipromega,87,43.5,26-Jul,1,,,,,
,cerazette ,65.5,65.5,25-Nov,1,,,,,
6.22E+12,cialong 20 mg,60,60,26-Aug,1,,,,,
6.22E+12,cipra pro,180,60,26-Sep,1,,,,,
6.22E+12,calodo,54,27,26-Sep,1,,,,,
6.22E+12,clatex 75 mg,85.5,29,26-Apr,1,,,,,
6.22E+12,cipazole fort ,17.5,17.5,26-Jun,1,,,,,
6.22E+12,colovatil,40.5,13.5,26-Oct,1,???? ????? ????,,,,
6.22E+12,clozapex 25 mg,32.5,6.5,26-Aug,3,???? ????? ????,,,,
6.22E+12,clozapex 100 mg,96,19.5,26-Aug,1,???? ????? ????,,,,
6.22E+12,cidamex 250 mg ,16,8,24-Aug,2,,,,,
6.22E+12,cidophage 850 mg ,48,8,26-Jun,1,???? ????? ????,,,,
6.22E+12,calcitron,102,34,26-Aug,1,,,,,
6.22E+12,capoten ,18,9,26-Feb,10,???? ????? ????,,,,
6.22E+12,cetafen plus,42,14,26-Feb,1,,,,,
6.22E+12,cidophage 1 g,27,9,26-May,1,???? ????? ??????,,,,
6.22E+12,ciprofloxacin 500 mg,44,44,26-Mar,4,,,,,
6.22E+12,ciprofloxacin 750 mg,62,62,26-Jun,3,,,,,
,cyclo progynova,43.5,43.5,26-Aug,2,,,,,
6.22E+12,capotril 25 mg,12,6,25-Dec,1,,,,,
6.22E+12,cipra max 40 mg,100,50,26-May,1,,,,,
6.22E+12,clarithro,76.5,76.5,26-May,1,,,,,
6.22E+12,cipromega 500,32.5,32.5,25-Jul,1,,,,,
6.22E+12,cerebrocetam,36,12,26-Oct,1,,,,,
6.22E+12,choromax,99,33,25-Oct,1,,,,,
6.22E+12,clindam 300 mg,38,19,26-Jan,3,,,,,
6.22E+12,ceporex,54,27,25-Jul,5,,,,,
6.22E+12,clearest,27,13.5,26-Oct,8,???? ????? ????,,,,
6.22E+12,chromitron,90,30,25-Apr,2,,,,,
6.22E+12,cerebromap 200 mg ,94.5,31.5,25-May,3,???? ????? ????,,,,
8.90E+12,cystone,70,70,26-Jul,4,,,,,
6.22E+12,coversal 10 mg ,143,143,26-Mar,2,,,,,
6.22E+12,coversal plus 5/1.25,54,54,26-May,2,,,,,
6.22E+12,coversal plus 10/25,63.5,63.5,26-Jul,2,,,,,
6.22E+12,coversol 5 mg,88,88,26-Jul,3,,,,,
6.22E+12,duricef 500mg,34,16,26-Aug,5,,,,,
6.22E+12,dormival,20,10,26-Jun,6,???? ????? ????,,,,
,diax,10.5,10.5,26-Feb,1,,,,,
6.22E+12,dolphin k 75 sr,42,21,26-Sep,1,,,,,
6.22E+12,downoprazol 20mg,50,50,26-Mar,1,,,,,
6.22E+12,downoprazol 40mg,65 le,65,26-Aug,1,,,,,
6.22E+12,doxirazol 60mg,73,36.5,25-Jul,1,,,,,
6.22E+12,doxirazol 30mg,44.25,23,25-May,1,,,,,
6.22E+12,duloxeprine 60mg,162,81,25-Feb,1,,,,,
6.22E+12,duloxeprine 30mg,136,68,26-Jul,2,???? ????? ????,,,,
6.22E+12,duloxeprin 20mg,90,45,25-Jun,3,???? ????? ????,,,,
6.22E+12,dantrelax compound,105,35,26-Oct,3,,,,,
6.22E+12,dantrelax 25mg,102,34,26-Oct,4,???? ????? ????,,,,
6.22E+12,davalindi 5000,38.5,38.5,25-Aug,1,,,,,
6.22E+12,deltavit b12,37,37,26-Jul,1,,,,,
6.22E+12,digestozyme,42,21,26-Oct,3,,,,,
6.22E+12,dosin  4mg,36,18,26-Jul,4,,,,,
6.22E+12,dosin  2mg,22,11,26-Jul,3,,,,,
6.22E+12,dogmatil forte 200mg,16.5,16.5,26-Aug,1,,,,,
6.22E+12,dogmatil 50mg,27,9,25-Aug,1,,,,,
8.00E+12,duphaston,269,90,24-Apr,4,???? ????? ????,,,,
6.22E+12,dolcyl m,24,12,24-Oct,2,,,,,
6.22E+12,D.dep 10000,200,100,26-Jun,2,???? ????? ????,,,,
6.22E+12,dexazone 0.5mg,34.5,11.5,26-Oct,9,,,,,
6.22E+12,disprelone -D,80,40,25-May,4,,,,,
,dalacin c 300mg,65.5,65.5,25-Dec,1,,,,,
6.22E+12,deltsone,24,8,26-Feb,5,,,,,
6.22E+12,dolphin k 50mg,18,9,26-Oct,1,,,,,
6.22E+12,dramenex,17,8.5,26-Mar,4,???? ????? ????,,,,
6.22E+12,dicynone 500mg,68,34,27-Jun,3,box - 1,,,,
6.22E+12,diamicronmr30mg,36,12,26-Jul,2,box - 1,,,,
6.22E+12,diamicron60mr,67.5,22.5,25-Jul,4,box -2,,,,
6.22E+12,daflon1000,190.5,63.5,25-Aug,1,,,,,
6.22E+12,daflon500mg,192,64,26-Aug,1,box-1,,,,
6.22E+12,diacerein,115.5,38.5,26-Mar,3,,,,,
6.22E+12,diamondemifolic,59,30,25-Aug,2,,,,,
6.22E+12,dispercam10,18,9,26-Oct,2,,,,,
6.22E+12,dispercam20,9,9,26-Nov,3,,,,,
6.22E+12,desa5mg,30,15,26-May,7,box-1,.,.,.,.
6.22E+12,dolcyl1mg,18,6,26-Oct,6,,,,,
6.22E+12,dolcyl4mg,51,17,26-Nov,2,,,,,
6.22E+12,dolcyl3mg,27,9,26-Oct,5,,,,,
6.22E+12,dimra,54,27,26-Oct,5,box -1,,,,
6.22E+12,diclac150,90,45,26-May,5,box -1,,,,
6.22E+12,diclac75,60,30,26-May,5,,,,,
6.22E+12,divido75,94.5,31.5,26-Oct,4,box -1,,,,
PAA174890,dostinex,118.5,118.5,25-Jan,1,,,,,
6.22E+12,digesteze,58,30,26-Nov,3,,,,,
6.22E+12,downsterolin,120,60,26-May,1,,,,,
6.22E+12,dapaglif,135.5,135.5,25-Jun,1,,,,,
3.66E+12,depakine 500 mg,94,Apr-00,26-Mar,1,,,,,
6.22E+12,depakine 200 mg,40,10,26-Jul,1,,,,,
,diflucan 50 mg,95.5,95.5,25-Oct,2,,,,,
,diflucan 150 mg,77,77,26-Jun,3,,,,,
6.22E+12,doliprane 1000 m,28.5,10,26-Jun,6,box -1,,,,
6.22E+12,dorofen ,115.5,38.5,25-Jun,3,box -1,,,,
8.00E+12,duspatalin retard 200 mg,90,45,25-Feb,1,,,,,
6.22E+12,diosmin plus ,58.5,20,26-Jun,3,,,,,
6.22E+12,doxycost 200 mg,29,29,26-Jun,4,,,,,
6.22E+12,dinitra 5 mg,9,3,26-Aug,3,box-1,,,,
6.22E+12,dinitra 10 mg,12,5,26-May,1,,,,,
6.22E+12,daonil 5 mg,11,4,25-Feb,3,,,,,
6.22E+12,examide 5 mg,48,16,27-Jul,6,,,,,
6.22E+12,examide 10 mg,88.5,30,27-Jul,3,box-2,,,,
6.22E+12,erastabex plus ,69,23,26-Sep,5,,,,,
6.22E+12,erastabex 20 mg,52.5,18,26-Aug,1,,,,,
6.22E+12,epifenac 75 mg,13.5,13.5,25-Mar,1,,,,,
6.22E+12,epifenac 100 mg,22,22,26-Aug,1,,,,,
,etoricox hexal 30 mg,97.5,32.5,25-Jan,1,,,,,
,etoricox hexal 60  mg,147,49,25-Jun,1,,,,,
,etoricox  hexal 90 mg,210,70,25-Jul,1,,,,,
6.22E+12,ezapril 10   mg,25,12.5,26-Sep,1,,,,,
6.22E+12,ezapril 20 mg,32,16,26-Jul,1,,,,,
6.22E+12,erastapex 40mg,69,23,26-Aug,1,,,,,
,exforgehct 10/160/25mg,166,83,25-Jun,1,,,,,
6.22E+12,ezogast 20mg,82,41,26-Jun,1,,,,,
6.22E+12,endlixaban2.5 mg,166,83,25-Aug,1,,,,,
6.22E+12,endlixaban5 mg,268.5,90,25-Jul,1,,,,,
6.22E+12,exforge 10/160                                     ,146,73,25-May,1,,,,,
6.22E+12,exforge 5/160,146,73,25-May,1,,,,,
,empagliform 12.5/500,154.5,51.5,25-Mar,1,,,,,
,empagliform 5/500,118.5,39.5,25-Feb,1,,,,,
,ezmatac 40mg,144,36,26-Apr,1,,,,,
6.22E+12,esmorap40 mg,72,36,25-Jan,1,,,,,
6.23E+12,empacoza 25  mg,180,60,25-Apr,1,,,,,
6.23E+12,empacoza10mg,180,60,26-Aug,1,,,,,
6.22E+12,examide 20 mg,80,40,27-Nov,5,box-1,,,,
,escita10mg,77,38.5,25-Dec,2,,,,,
6.22E+12,epicopred5mg,31.5,10.5,24-Nov,5,box-1,,,,
,ecoto,75,37.5,25-Dec,3,,,,,
6.22E+12,estromap,105,35,26-Feb,1,,,,,
,ennervita,54,27,25-Apr,1,,,,,
6.22E+12,erastabex trio,87,29,25-Oct,2,box-1,,,,
6.22E+12,forbudes,254,43,25-Oct,1,box-1,,,,
,efexor xr75mg,122,61,25-May,1,,,,,
,efexor xr150mg,175,88,25-May,1,,,,,
6.22E+12,emoxclav 1gm,65.5,65.5,25-Oct,6,,,,,
6.22E+12,eucarbon,57,19,27-Oct,1,,,,,
6.22E+12,epinor,22,11,26-Jun,1,,,,,
6.22E+12,emetrex,17,8.5,26-Jun,4,,,,,
6.22E+12,ezapril co,34,17,26-Jul,3,box-1,,,,
6.22E+12,ezamol-c,14,7,26-Aug,1,,,,,
6.22E+12,esmatac,55,27.5,26-Jul,1,,,,,
6.22E+12,epicotil20mg,28.5,28.5,26-Feb,1,,,,,
6.22E+12,ezacard100         mg,21,7,25-Apr,2,,,,,
6.22E+12,ezacard 75mg,21,7,26-May,6,box-2,,,,
6.22E+12,extreme,52,52,25-Oct,1,,,,,
6.22E+12,esmopump40 mg,90,45,26-Jun,4,,,,,
6.22E+12,esmopump20 mg,65,32.5,25-Aug,1,,,,,
6.22E+12,flumox500,40.5,21,26-May,8,,,,,
6.22E+12,floxamo,76,38,25-Jul,6,box-1,,,,
6.22E+12,flumox 1000,53.5,18,26-Jul,4,box-1,,,,
6.22E+12,futapan40,112,56,26-Jul,4,,,,,
6.23E+12,fantocal,65,33,25-Jun,2,,,,,
,flexilax,41,21,26-Jun,3,,,,,
6.22E+12,fastel 180mg,54,27,26-Aug,1,,,,,
,feburic,42,42,26-May,1,,,,,
6.22E+12,foradil,162,54,24-Sep,3,,,,,
6.22E+12,ferrodunal,63,21,25-Aug,2,,,,,
6.22E+12,fungican  150mg,47,24,26-Mar,3,,,,,
6.22E+12,forflozin,231,77,25-Sep,3,box-1,,,,
6.22E+12,flector 50mg,57,19,26-Sep,2,,,,,
,feldene 20mg,26.5,26.5,25-Sep,2,,,,,
6.22E+12,famotin 20mg,14,7,27-Mar,7,,,,,
6.22E+12,fastcure 40mg,36,18,26-Jun,3,,,,,
6.22E+12,ferrrinopris,87,29,23/4/2025,3,,,,,
6.22E+12,fulprazal    40 mg,82,41,23/10/2025,2,,,,,
,flamifast,36,12,1/5/2026,2,,,,,
6.22E+12,femogesal,58,58,23/10/2026,2,,,,,
6.22E+12,fexon,13,13,1/4/2026,1,,,,,
6.22E+12,flatidyl,33,11,1/7/2026,1,,,,,
6.22E+12,fluver,12,12,1/7/2026,1,,,,,
6.22E+12,fladazole,11,11,1/3/2026,1,,,,,
6.22E+12,feroglobin,100,100,1/9/2026,1,,,,,
6.22E+12,ferrotron,88.5,29.5,1/1/2025,1,,,,,
,flumox   250mg,14.5,14.5,1/2/2025,2,,,,,
6.22E+12,famotak 40 mg,21,21,22/12/2025,4,,,,,
6.22E+12,famotak 20 mg,11,11,22/12/2025,7,,,,,
6.22E+12,Folic  acid 500 mcg,11,11,23/9/2026,6,,,,,
6.22E+12,Folic acid 5 mg,11,5.5,26/2/2026,1,,,,,
6.22E+12,flucoral 150 mg,36,36,23/11/2023,2,,,,,
6.22E+12,folicap   2.5 mg,12.5,12.5,1/5/2025,2,,,,,
6.22E+12,Flagyal       500mg,23,11.5,7/1/2026,13,,,,,
6.22E+12,Flurest N,20,10,1/5/2025,2,,,,,
6.22E+12,Histazine,43,21.5,23/9/2026,5,1tab-,,,,
6.22E+12,Hydroquine,40,20,1/5/2027,1,,,,,
6.22E+12,Histotec,28,14,1/2/2025,1,,,,,
6.22E+12,Hepafort,33,11,1/1/2025,1,,,,,
6.22E+12,Haemostop,15,7.5,1/8/2025,1,,,,,
6.22E+12,Hibiotic 375 mg,66,33,1/12/2024,1,,,,,
,Hipamax,50,25,1/7/2026,1,,,,,
6.22E+12,Heli-cure,105,15,1/11/2025,2,,,,,
6.22E+12,Herbana,60,30,1/10/2026,3,,,,,
6.22E+12,Haemojet 100 mg,58.5,19.5,23/5/2025,1,,,,,
6.22E+12,Haema-caps,58,14.5,1/9/2025,3,,,,,
,Hi -potency formoula,60,20,11/1/2024,2,,,,,
6.22E+12,Hairtonic,145,145,1/10/2026,3,,,,,
6.23E+12,jusprin   81mg,55,18,1/8/2026,5,tab-2,,,,
,Ibidroxil 500mg,20,10,1/92026,4,,,,,
6.22E+12,Ibidroxil 1mg,29,15,1/8/2026,1,,,,,
6.22E+12,Immulant,30,15,1/2/2026,2,,,,,
6.22E+12,itpride  50 mg,34.5,11.5,1/10/2026,1,,,,,
